'NANOG';82184.1275545849;22833476.1059584;6275.70987690285
'SP1';82111.7408529519;22848681.9151561;6344.20506009819
'GATA4';81389.0149339177;31299738.2169176;5376.59395628456
'TBX5';82100.4690042257;22698340.0286106;6195.37228155825
'GATA6';81072.0123378157;54455444.5862459;3301.81306791539
'IRX5';81850.3246527056;25051680.6694012;5404.76121966516
'MYOD1';81886.3354709890;24694956.1057075;6040.83739015967
'SP4';82051.1945014402;22864957.6575162;6314.66397397151
'REST';82113.6536636259;22820233.2693983;6236.72970001737
'PAX4';82197.8620876824;22498247.9959499;6367.06498855552
'IK';82070.1959270661;22863239.9812680;6335.45587051680
'FOXO1';82241.3872149896;22352165.9545023;6353.82363348954
'FOXD3';82038.3130438905;22985091.1226441;6245.20599597535
'PITX2';82181.3642653016;22583176.9068869;6326.67078869633
'POLR3A';82116.6569640672;22805080.2887446;6317.83111134859
'POU2F1';82209.3269079965;22524607.2020598;6351.38953828053
'AHR';80860.1095918855;41509676.2313496;4299.19018171868
'AIRE';81557.3888820741;27909904.6018609;5305.31722165455
'ALX1';81102.5460667453;36304545.4012511;5066.41107188047
'ALX3';80579.3151777501;40990374.3307910;4389.23273031945
'ALX4';81594.4870301743;34791052.7393182;4625.19461078997
'ARID5B';80311.7036633877;53452214.2262356;3491.82692915010
'ARNT';80427.8754851292;41601228.2030591;4403.72995334465
'ATF1';77944.5708637658;169382998.194422;2194.24594530420
'ATF3';79225.2665553896;80844825.8687389;3369.41368541200
'ATF4';79328.9121576288;65116663.6244797;3257.15090391425
'ATF5';82001.3956469829;24504945.2936377;6023.43919613640
'ATOH1';80847.4474345881;39933303.5587984;4928.74671585601
'BACH1';81217.4364797743;35880264.1368002;4599.04150563001
'BACH2';80188.7566333812;49607348.3432275;3556.07773232773
'BARHL1';81289.6256843362;41802379.8431304;3904.84998653778
'BARHL2';81757.7338801496;29799979.7266357;4458.97068160834
'BARX1';80431.1076100456;54411944.6459680;3923.10400296068
'BARX2';81403.7842390353;33879784.7566940;4403.37807358245
'BCL6';81938.9609984282;24442550.1927114;6073.18496752209
'BDP1';81912.6272353277;23714132.4042606;6132.76003018353
'BHLHE41';78332.3735822298;85212605.6870758;2879.67664205527
'BPTF';80773.3062075550;32211094.1858839;5306.41031034539
'BRF1';80836.0577226089;37753295.7728799;4161.52439307831
'CDC5L';80850.3362895779;59201428.1049696;2965.16762658011
'CDX1';81355.0205911767;38634875.1207201;4361.45312888000
'CDX2';81744.5477566540;24434838.7516342;5927.39984570467
'CEBPA';82092.0062621734;23251606.3018893;6245.22872065615
'CEBPB';81648.9707268052;26160272.1233511;5827.67020055363
'CNOT3';81215.9955725077;30985056.3787790;5978.42149002334
'CREB1';79853.8697254621;48460202.9464496;2809.58318664672
'CREM';80024.9057150783;72073865.9387537;1824.48366219873
'CRX';80823.1070235276;37907524.1010117;4734.95410833848
'CTCF';81771.2853391682;25034846.9770800;6093.08152390088
'CTF1';80321.2964320009;44397332.7695061;4936.16399592528
'CUX1';81288.7631944010;29113170.5670281;5352.24638665653
'DEAF1';81432.0523086613;26825660.6510372;4988.28770901836
'DLX1';80190.7192526115;54517322.6971559;3961.97220269344
'DLX2';79734.2412396748;69012650.6940218;3590.73703694229
'DLX3';80846.7649034910;92496361.9256032;2468.74735698885
'DLX4';81403.7496928998;125773547.755731;1609.90690511738
'DLX5';78351.9108530496;194581549.015681;1633.25934147371
'DMBX1';78500.2716322065;76027422.2922810;3334.56123312430
'DMRT1';80203.4910587577;44721295.5330021;4586.42721166624
'DMRT2';81446.5866143639;32233907.1712366;4875.79166055218
'DMRT3';81679.0807654417;35236264.7035115;4768.68894319066
'DR1';81020.1253761493;31887029.6653455;5331.40849261173
'E2F1';80959.4980658012;39883730.4403288;4725.43848536210
'E4F1';77133.3053124301;149209390.609099;1219.31348595244
'EBF1';81507.2139187976;31678487.1794299;5837.50731218463
'EGR1';81188.2086218974;28796705.8558112;5019.78976175628
'EGR2';79406.8796539785;78825972.2114128;3253.70608835236
'EGR3';79040.9335997385;94459938.7002051;3007.87910914406
'EHF';78774.2831812926;77776127.5696847;2879.66495747691
'ELF1';81898.5893881270;26127907.1080625;5758.15428643237
'ELF2';81705.0683581203;25371018.3393927;5490.81777239573
'ELF5';81232.1961343318;36818313.4752399;5196.93855684727
'ELK4';78011.9025305752;97388901.0453462;2060.14576550279
'EMX2';77791.2141617103;126694599.291856;2078.09440911072
'EN1';80279.6467862048;47093727.0143602;4531.70319377876
'EN2';80411.0968852012;80868733.6405055;2624.62230722130
'EOMES';81056.1053250196;32711714.7804224;4876.18533173371
'EP300';80845.9572481423;31496687.0763591;5493.69777513561
'EPAS1';77717.4464298432;116161936.509030;2161.19799675856
'ERG';77528.0705540162;172772539.625352;1372.72955188711
'ESR1';82020.6014139604;23448272.8829240;6079.66451693382
'ESR2';81253.7718881470;29671796.3246028;4902.37948107424
'ESRRA';81395.8230043823;28670000.1277756;5633.96965351113
'ESRRB';81514.2375996871;27771876.2729751;5562.74079583047
'ETS1';81594.4858050857;26981309.2006933;5611.67813813978
'ETS2';81306.1812384258;30513123.6584582;5375.60700006058
'ETV7';80926.4727319576;31899887.0330099;5059.68044557065
'EVX1';79204.5978195153;97991335.3996848;2392.09774726943
'FLI1';81108.0735832268;33997024.9148110;4583.58970924099
'FOXA1';81941.3962304279;24639715.3116900;5961.13512484081
'FOXA2';82143.0282037044;22408405.9907925;6300.43790204567
'FOXC1';80422.9040826424;40424124.3828563;4775.82537861780
'FOXD1';81296.0737616117;30815603.0152951;4677.05771284272
